,decade,Multi-works CPs,Single-work CPs,region_name
0,850,0.6931471805599453,2.4849066497880004,France
1,1000,0.6931471805599453,2.4849066497880004,France
2,1100,1.9459101490553132,3.332204510175204,France
3,1150,2.70805020110221,4.060443010546419,France
4,1200,2.833213344056216,4.574710978503383,France
5,1250,2.302585092994046,4.5217885770490405,France
6,1300,2.0794415416798357,4.465908118654584,France
7,1350,1.9459101490553132,3.784189633918261,France
8,1400,2.70805020110221,4.248495242049359,France
9,1450,2.8903717578961645,4.3694478524670215,France
10,1500,3.713572066704308,5.170483995038151,France
11,1550,4.356708826689592,6.073044534100405,France
12,1600,4.465908118654584,6.342121418721152,France
13,1650,5.484796933490655,6.694562058521095,France
14,1700,5.568344503761097,6.963189985870238,France
15,1750,6.030685260261263,7.228388451573604,France
16,1800,6.78897174299217,7.9672801789422,France
17,1850,7.610357618312838,8.837536046107568,France
18,-250,1.791759469228055,2.1972245773362196,Arabic world
19,150,1.0986122886681098,2.3978952727983707,Arabic world
20,350,1.791759469228055,1.791759469228055,Arabic world
21,400,1.791759469228055,2.302585092994046,Arabic world
22,600,1.791759469228055,2.6390573296152584,Arabic world
23,650,1.791759469228055,2.9444389791664403,Arabic world
24,700,2.4849066497880004,3.2188758248682006,Arabic world
25,750,2.4849066497880004,3.332204510175204,Arabic world
26,800,2.833213344056216,3.6635616461296463,Arabic world
27,850,2.8903717578961645,3.5553480614894135,Arabic world
28,900,2.302585092994046,3.091042453358316,Arabic world
29,950,1.9459101490553132,3.367295829986474,Arabic world
30,1000,2.8903717578961645,3.6375861597263857,Arabic world
31,1050,2.4849066497880004,3.4339872044851463,Arabic world
32,1100,2.6390573296152584,3.5553480614894135,Arabic world
33,1150,2.833213344056216,4.007333185232471,Arabic world
34,1200,3.091042453358316,4.1588830833596715,Arabic world
35,1250,2.8903717578961645,4.1588830833596715,Arabic world
36,1300,2.70805020110221,3.4965075614664802,Arabic world
37,1350,2.6390573296152584,3.332204510175204,Arabic world
38,1400,2.0794415416798357,3.258096538021482,Arabic world
39,1450,2.0794415416798357,3.2188758248682006,Arabic world
40,1500,1.9459101490553132,2.772588722239781,Arabic world
41,1550,1.3862943611198906,3.091042453358316,Arabic world
42,1600,1.9459101490553132,3.1780538303479458,Arabic world
43,1650,1.0986122886681098,3.1780538303479458,Arabic world
44,1700,0.6931471805599453,2.995732273553991,Arabic world
45,1750,1.0986122886681098,3.4657359027997265,Arabic world
46,1800,2.0794415416798357,3.9512437185814275,Arabic world
47,1850,3.4657359027997265,5.111987788356544,Arabic world
48,150,1.0986122886681098,2.1972245773362196,Chinese world
49,200,2.4849066497880004,2.5649493574615367,Chinese world
50,250,2.4849066497880004,2.3978952727983707,Chinese world
51,300,1.9459101490553132,2.1972245773362196,Chinese world
52,350,1.6094379124341003,1.9459101490553132,Chinese world
53,400,1.791759469228055,2.4849066497880004,Chinese world
54,500,1.9459101490553132,2.1972245773362196,Chinese world
55,600,2.0794415416798357,2.0794415416798357,Chinese world
56,650,2.5649493574615367,1.3862943611198906,Chinese world
57,700,2.8903717578961645,1.6094379124341003,Chinese world
58,750,3.1354942159291497,2.3978952727983707,Chinese world
59,800,3.044522437723423,2.3978952727983707,Chinese world
60,850,2.70805020110221,1.791759469228055,Chinese world
61,900,2.0794415416798357,2.3978952727983707,Chinese world
62,950,2.3978952727983707,2.302585092994046,Chinese world
63,1000,2.0794415416798357,2.302585092994046,Chinese world
64,1050,3.1780538303479458,2.1972245773362196,Chinese world
65,1100,2.833213344056216,2.0794415416798357,Chinese world
66,1150,2.302585092994046,1.9459101490553132,Chinese world
67,1200,2.302585092994046,2.0794415416798357,Chinese world
68,1250,2.5649493574615367,3.1354942159291497,Chinese world
69,1300,3.1354942159291497,3.8501476017100584,Chinese world
70,1350,3.1354942159291497,3.58351893845611,Chinese world
71,1400,2.772588722239781,3.8501476017100584,Chinese world
72,1450,2.0794415416798357,3.5263605246161616,Chinese world
73,1500,3.332204510175204,3.5553480614894135,Chinese world
74,1550,2.8903717578961645,4.110873864173311,Chinese world
75,1600,3.6109179126442243,4.07753744390572,Chinese world
76,1650,4.110873864173311,5.204006687076795,Chinese world
77,1700,3.713572066704308,4.882801922586371,Chinese world
78,1750,3.6375861597263857,4.727387818712341,Chinese world
79,1800,3.58351893845611,5.214935757608986,Chinese world
80,1850,3.8501476017100584,5.342334251964811,Chinese world
81,700,0.0,3.258096538021482,Japan
82,800,1.0986122886681098,2.4849066497880004,Japan
83,850,0.6931471805599453,2.3978952727983707,Japan
84,900,1.3862943611198906,2.833213344056216,Japan
85,950,0.6931471805599453,3.367295829986474,Japan
86,1000,1.0986122886681098,3.091042453358316,Japan
87,1050,0.6931471805599453,2.302585092994046,Japan
88,1150,0.6931471805599453,2.3978952727983707,Japan
89,1200,1.791759469228055,3.295836866004329,Japan
90,1250,1.3862943611198906,2.833213344056216,Japan
91,1300,1.6094379124341003,2.995732273553991,Japan
92,1350,1.3862943611198906,2.302585092994046,Japan
93,1450,1.791759469228055,2.302585092994046,Japan
94,1500,1.791759469228055,2.302585092994046,Japan
95,1550,1.791759469228055,2.70805020110221,Japan
96,1600,2.833213344056216,2.9444389791664403,Japan
97,1650,2.70805020110221,3.4339872044851463,Japan
98,1700,3.4339872044851463,3.9318256327243257,Japan
99,1750,3.6375861597263857,4.143134726391533,Japan
100,1800,4.394449154672439,4.955827057601261,Japan
101,1850,4.07753744390572,5.402677381872279,Japan
