,region_name,year,log_infant_mortality_std,N_est_log_std,N_est,infant_mortality_weighted
3,France,1820,1.005183509144262,0.9867371434380091,12611.867746251417,182.0
4,France,1830,0.9992563701649018,0.9840762124685193,12294.782460304881,176.5
5,France,1840,0.9809013770745189,1.0467537452282785,22397.642731202577,160.5
6,France,1850,0.9943801212921292,1.0461800262837218,22275.01448689399,172.1
7,France,1860,0.9973869295819082,1.0749863282874248,29344.996514085426,174.8
8,France,1870,0.9970551418828738,1.042802224612766,21566.526049198073,174.5
9,France,1880,0.9879904549599716,1.0844684738712649,32132.232209098434,166.5
10,German world,1820,1.0112429730987282,1.1216005903119421,45841.43494174881,187.8
11,German world,1830,1.0946398269485822,1.1283259460554462,48888.65613106463,289.20544596776745
12,German world,1840,1.0968740194010034,1.1786274737711797,79114.51000715444,292.57004764364854
13,German world,1850,1.0933021325402523,1.1595935912630944,65940.65534127453,287.2094811120544
14,German world,1860,1.0987234817247564,1.18530771527924,84337.07764713101,295.38485502929205
15,German world,1870,1.075580202242004,1.1750006653584721,76415.85822383554,262.03088781623063
16,German world,1880,1.0476546271114333,1.2175902328217696,114863.33305003389,226.75880460218409
17,Greek World,1820,1.005183509144262,0.597390385362884,303.87418184958034,182.0
18,Greek World,1830,0.9992563701649018,0.6132913115761921,353.81516046087916,176.5
19,Greek World,1840,0.9809013770745189,0.6793140683024412,665.518776795475,160.5
20,Greek World,1850,0.9943801212921292,0.734299610646398,1126.3533256120695,172.1
21,Greek World,1860,0.9973869295819082,0.7302890613835221,1083.9449091858255,174.8
22,Greek World,1870,0.9970551418828738,0.7103467500147567,895.6307341231095,174.5
23,Greek World,1880,0.9879904549599716,0.7764411273178337,1685.8173194817007,166.5
24,Low countries,1820,1.0019730913391887,0.8347030092861166,2944.0215102204916,179.0
25,Low countries,1830,0.9971381032511555,0.8519318712152991,3471.701524492682,174.5749647501175
26,Low countries,1840,0.9880422076143064,0.9196243449600132,6635.374352787361,166.544616709733
27,Low countries,1850,0.9925899733467196,0.9320259565354382,7471.456438088207,170.5123625281569
28,Low countries,1860,0.9935133128710355,0.9577035331891758,9552.535730281414,171.32941176470587
29,Low countries,1870,0.993863430281441,0.9430478888432505,8302.546192449914,171.64024810475533
30,Low countries,1880,1.0057134290686707,0.9826088344957208,12123.348090398833,182.5
31,Nordic countries,1810,1.0234967073432282,0.8838863661253316,4713.483785134753,200.1
32,Nordic countries,1820,1.0217513127142674,0.9067461140080422,5866.037151638668,198.3
33,Nordic countries,1830,0.9892843786438102,0.8992693183787657,5460.997849306194,167.61910501732712
34,Nordic countries,1840,0.9594538573832438,0.9531420585702934,9144.535396276244,143.63228689275894
35,Nordic countries,1850,0.9482402109634797,0.961762780143632,9930.897264015694,135.5311506374941
36,Nordic countries,1860,0.9592494074930235,0.9896728333747842,12971.190490372064,143.48033657104133
37,Nordic countries,1870,0.9346578467910542,0.9897598316829714,12981.993681392483,126.32820084756645
38,Nordic countries,1880,0.9165149952632812,1.0338071869404297,19787.809958965903,115.00258982734485
47,United Kingdom,1810,0.9558811376771957,0.9122538705917369,6183.501727849928,141.0
48,United Kingdom,1820,0.9716577142213417,0.9450918477146383,8466.536522120427,153.0
49,United Kingdom,1830,0.9691161552986591,0.932387565349042,7497.355051766423,151.0
50,United Kingdom,1840,0.9719100404378841,0.9841075600347259,12298.47113569014,153.2
51,United Kingdom,1850,0.9630084702013475,0.9844945638154056,12344.10123106204,146.3
52,United Kingdom,1860,0.9510259813835673,1.0081507160128271,15480.03869336164,137.5
53,United Kingdom,1870,0.9493328600273184,0.9794702213376006,11764.644742003877,136.3
54,United Kingdom,1880,0.9412292606106806,1.028095529445599,18735.30044625974,130.7
