,region_name,year,log_life_expectancy_std,N_est_log_std,N_est,life_expectancy_weighted,pop,pop_std
0,France,1820,1.0088472142050287,1.0784198111524066,12611.867746251417,39.012,31436.783636363634,1.2516494565161107
1,France,1830,1.00247027921206,1.0755116398195546,12294.782460304881,38.11888888888889,33244.88888888889,1.3236388172225084
2,France,1840,1.0211618837474465,1.1440128546484303,22397.642731202577,40.79636363636364,34871.27272727273,1.3883929749934396
3,France,1850,1.017487354253918,1.1433858286162615,22275.01448689399,40.25555555555556,36349.11111111111,1.4472328242396686
4,France,1860,1.0172315970871197,1.1748686677628595,29344.996514085426,40.21818181818182,37400.0,1.489073761972087
5,France,1870,1.0158331821576811,1.1396941785508647,21566.526049198073,40.01444444444444,38145.666666666664,1.5187623359964324
6,France,1880,1.038693371338315,1.1852318467693939,32132.232209098434,43.47833333333333,39024.90909090909,1.553769202957719
7,German world,1870,0.9742046522606111,1.2841758355470712,76415.85822383554,34.4,46423.0,1.8483227607494703
8,German world,1880,1.019188303449305,1.3307226120683275,114863.33305003389,40.505,51023.0,2.031470870510743
9,Greek World,1820,1.0088472142050287,0.6528969045622822,303.87418184958034,39.012,92077.28181818181,3.666039155860001
10,Greek World,1830,1.00247027921206,0.6702752651096079,353.81516046087916,38.11888888888889,98716.84444444445,3.930392056869043
11,Greek World,1840,1.0211618837474465,0.7424325253424655,665.518776795475,40.79636363636364,104693.28454545453,4.168342862869362
12,Greek World,1850,1.017487354253918,0.8025270485749415,1126.3533256120695,40.25555555555556,110675.16333333333,4.406510209134809
13,Greek World,1860,1.0172315970871197,0.7981438591840785,1083.9449091858255,40.21818181818182,116214.05454545455,4.627040090802923
14,Greek World,1870,1.003913362294268,0.7763486082367853,895.6307341231095,38.31919061192397,121358.2888888889,4.831856785622276
15,Greek World,1880,1.009832939926871,0.8485841436713528,1685.8173194817007,39.151909264799066,126171.72727272728,5.02350290332931
16,Italy,1870,0.9457563060454982,1.150018344282627,23606.884634733393,31.02333333333333,27880.555555555555,1.1100589237161198
17,Italy,1880,0.9667951940743702,1.1856405591921335,32247.42632267353,33.486666666666665,29585.272727272728,1.1779319079938553
18,Japan,1860,0.9899607008215072,0.7583630407593035,765.1338203312772,36.42584,33198.454545454544,1.3217900428251157
19,Japan,1870,0.9912186973323275,0.7695498827950976,843.8714217938596,36.59264,34526.666666666664,1.3746725513820746
20,Japan,1880,0.9936558293448611,0.811445020661511,1217.8280219789465,36.917959999999994,36882.09090909091,1.4684533117485699
21,Low countries,1840,1.018746082975488,1.0050712279538692,6635.374352787361,40.440000000000005,6969.818181818182,0.27750196203907623
22,Low countries,1850,1.0062242527217942,1.018625135093269,7471.456438088207,38.64213961414496,7559.111111111111,0.30096454597292044
23,Low countries,1860,1.00682582301445,1.0466885434182995,9552.535730281414,38.7266551632101,8080.909090909091,0.32173983155493147
24,Low countries,1870,1.0105038703548763,1.0306711700854363,8302.546192449914,39.24742484642016,8701.555555555555,0.346450750431022
25,Low countries,1880,1.0309892323718517,1.0739079204431854,12123.348090398833,42.27869570111502,9588.727272727272,0.3817733206557312
26,Nordic countries,1750,0.9994824768377537,0.8951834601836238,2535.17660331315,37.707499999999996,4112.916666666667,0.1637549811099206
27,Nordic countries,1760,0.9823489991733803,0.9323646930549235,3510.6933191942417,35.432685126220115,4363.5,0.17373190803115512
28,Nordic countries,1770,0.9691604477194694,0.890965609419505,2443.2589378513994,33.775555555555556,4614.083333333333,0.18370883495238965
29,Nordic countries,1780,0.989863517480201,0.9490945839474848,4064.523784592538,36.41298596919676,4864.667272727273,0.19368578600380995
30,Nordic countries,1790,0.9981017321158222,0.9688929340178261,4833.864945461015,37.51888888888889,5115.25,0.20366268879485877
31,Nordic countries,1800,1.0052048687550503,0.9698766977539357,4875.681796385602,38.499345641589855,5365.833636363636,0.21363962778118617
32,Nordic countries,1810,0.9731264011834972,0.9660126553216661,4713.483785134753,34.26555555555555,5616.416666666667,0.2236165426373279
33,Nordic countries,1820,1.0232231061571522,0.9909964163552987,5866.037151638668,41.10290382599814,5938.375454545454,0.23643526946798665
34,Nordic countries,1830,1.0166805669534809,0.9828249143659686,5460.997849306194,40.13777777777778,6616.666666666667,0.26344130280878725
35,Nordic countries,1840,1.0329197420362306,1.0417032394497754,9144.535396276244,42.5761576818755,7201.545454545455,0.28672813855649687
36,Nordic countries,1850,1.0403033822288899,1.0511249552460669,9930.897264015694,43.73330186499292,7975.0,0.3175230815969891
37,Nordic countries,1860,1.0453226852372777,1.0816282706780997,12971.190490372064,44.537817707193035,8868.363636363636,0.3530921818860015
38,Nordic countries,1870,1.0572670462246812,1.0817233524328607,12981.993681392483,46.51233100337455,9632.777777777777,0.3835271829892159
39,Nordic countries,1880,1.0563110981058665,1.129863367080536,19787.809958965903,46.351131634527825,10551.545454545454,0.4201077402304672
40,United Kingdom,1540,0.9704978037388912,0.782947144963685,948.9000358909852,33.94,4833.2,0.19243292263003986
41,United Kingdom,1550,1.0102060671462825,0.6952247401789734,440.1988001500304,39.205,5056.0,0.20130366151152063
42,United Kingdom,1560,0.93207921737571,0.7568726128532314,755.2138138370542,29.519999999999996,5278.8,0.21017440039300142
43,United Kingdom,1570,1.0182349444962695,0.733696816133838,616.5127539013727,40.365,5501.6,0.2190451392744822
44,United Kingdom,1580,1.0300191087138244,0.8249541636685195,1370.7415661637028,42.13,5724.400000000001,0.22791587815596298
45,United Kingdom,1590,0.998329961197039,0.7903522412769457,1012.462499928414,37.55,5947.200000000001,0.23678661703744378
46,United Kingdom,1600,1.002875297485002,0.9055432599672346,2775.8896841512083,38.175,6172.277272727273,0.24574802509183993
47,United Kingdom,1610,1.002983468855352,0.8480679225567466,1678.214767505515,38.19,6409.5,0.25519300206845164
48,United Kingdom,1620,0.9931484869641346,0.8438522285096387,1617.3984308843835,36.85,6649.0,0.26472864821797876
49,United Kingdom,1630,1.013695534955129,0.788197053112615,993.5361361490839,39.705,6888.5,0.27426429436750593
50,United Kingdom,1640,0.9803391904393066,0.8845369975551434,2309.533012930569,35.175,7128.0,0.28379994051703306
51,United Kingdom,1650,1.0118516261573682,0.8189290335726944,1300.3029061449854,39.44,7367.5,0.2933355866665602
52,United Kingdom,1660,0.9640544089734092,0.8735587222529777,2097.8690994685658,33.155,7607.0,0.3028712328160873
53,United Kingdom,1670,0.9785328362563772,0.7904485259785238,1013.3164127854391,34.94499999999999,7846.5,0.3124068789656145
54,United Kingdom,1680,0.9528676946489791,0.8792698104840638,2205.4400934795344,31.835,8086.0,0.3219425251151416
55,United Kingdom,1690,0.9877914566187729,0.8026535783708285,1127.6018651058714,36.14,8325.5,0.3314781712646687
56,United Kingdom,1700,1.003523689196746,0.8684346465252836,2005.8279083349696,38.265,8676.363636363636,0.3454477390437919
57,United Kingdom,1710,0.999391183371951,0.8502662667931478,1710.8302548924273,37.695,9621.166666666666,0.3830648888474272
58,United Kingdom,1720,0.9838008038741116,0.9168644792104425,3065.1523374788585,35.620000000000005,10677.333636363635,0.4251159723457514
59,United Kingdom,1730,0.9441242885426638,0.8793929130380145,2207.818524950038,30.840000000000003,11733.5,0.4671670317138899
60,United Kingdom,1740,0.977110855200702,0.9313947596364572,3481.004957350868,34.765,12789.666363636363,0.5092180910820283
61,United Kingdom,1750,1.0024783051603134,0.9002939320642454,2651.1921482898742,38.120000000000005,13845.833333333334,0.5512691745803526
62,United Kingdom,1760,0.9923627870474527,0.9505976792697659,4118.369529249343,36.745,14902.0,0.5933202460135839
63,United Kingdom,1770,0.9989891321401636,0.9496300900649326,4083.626138883562,37.64,15958.166666666666,0.6353713174468153
64,United Kingdom,1780,0.9925875016026495,0.9938191370331233,6012.82321368671,36.775000000000006,17014.333636363634,0.6774224009451394
65,United Kingdom,1790,1.00481591004173,0.9654585464800719,4690.671003651324,38.445,18070.5,0.719473460313278
66,United Kingdom,1800,1.012095870174878,1.0166469975302743,7343.164191192906,39.475,19126.666363636366,0.7615245196814167
67,United Kingdom,1810,1.021961443815714,0.9970159260640001,6183.501727849928,40.915,20182.833333333332,0.8035756031797406
68,United Kingdom,1820,1.0202061097573532,1.032905043366425,8466.536522120427,40.655,21495.886363636364,0.8558545554658953
69,United Kingdom,1830,1.0236053306070054,1.0190203427846698,7497.355051766423,41.16,24118.333333333332,0.9602667740418035
70,United Kingdom,1840,1.0245736401443983,1.0755459000444314,12298.47113569014,41.305,26745.727272727272,1.0648759552588087
71,United Kingdom,1850,1.0156037108795921,1.0759688622759145,12344.10123106204,39.98111111111111,27488.666666666668,1.0944559434473273
72,United Kingdom,1860,1.021606370391117,1.1018230255198855,15480.03869336164,40.86227272727273,28901.909090909092,1.1507239170635097
73,United Kingdom,1870,1.0269557559485019,1.0704776830879084,11764.644742003877,41.66388888888889,31388.444444444445,1.2497248409449397
74,United Kingdom,1880,1.0338538080598894,1.1236210110104266,18735.30044625974,42.72083333333333,34527.63636363636,1.3747111596792574
