,region_name,year,log_homicide_rate_std,N_est_log_std
1,France,1800,0.3901647500605309,0.9975985254406502
2,France,1810,0.3901647500605309,0.9603499663420048
3,France,1820,0.3901647500605309,1.0018245795626748
4,France,1830,0.3901647500605309,0.9991229623513612
5,France,1840,0.3901647500605309,1.062758848891814
6,France,1850,0.3538485656585383,1.062176357653656
7,France,1860,0.3237753470727804,1.091423114589413
8,France,1870,0.3237753470727804,1.058746908624241
9,France,1880,0.3237753470727803,1.101050244343326
10,German world,1800,0.90825391130138,1.130956180923426
11,German world,1810,0.9082460781757667,1.1024083225603447
12,German world,1820,0.9075892226501436,1.138750119318987
13,German world,1830,0.9046604608339268,1.1455783072867267
14,German world,1840,0.9021680507100288,1.196648956841474
15,German world,1850,0.6546163352798531,1.1773240419257665
16,German world,1860,0.4282349223793568,1.2034313407668138
17,German world,1870,0.4584375916214436,1.192966693700395
18,German world,1880,0.5488723322066705,1.236207465370358
19,Greek World,1800,1.5410817181814371,0.5992334832267749
20,Greek World,1810,1.541128523014939,0.5446451224438779
21,Greek World,1820,1.5410068160280752,0.6065246206965701
22,Greek World,1830,1.5422948635865672,0.6226686757007235
23,Greek World,1840,1.5480160010844046,0.6897009354455891
24,Greek World,1850,1.504200670919967,0.7455272192812505
25,Greek World,1860,1.47053665246635,0.7414553478048239
26,Greek World,1870,1.4805723993756323,0.721208113943827
27,Greek World,1880,1.2568922136891536,0.7883130893604859
28,Italy,1800,2.000973137147388,1.0050363320725826
29,Italy,1810,2.000973137147388,0.9912768546812388
30,Italy,1820,2.000973137147388,1.0173006054396123
31,Italy,1830,2.000973137147388,1.000602654227481
32,Italy,1840,2.000973137147388,1.0716003609471445
33,Italy,1850,1.931715580996061,1.060595386305511
34,Italy,1860,1.872480595158588,1.0995303271026666
35,Italy,1870,1.872480595158588,1.0683377960380258
36,Italy,1880,1.674789116291361,1.1014299277901978
37,Low countries,1800,-0.2147231566542155,0.8211030390356239
38,Low countries,1810,-0.2147231566542157,0.8144186855810105
39,Low countries,1820,-0.2147231566542157,0.8474658088010835
40,Low countries,1830,-0.2147231566542157,0.8649581039612798
41,Low countries,1840,-0.2147231566542157,0.9336856110788996
42,Low countries,1850,0.0862913914203851,0.9462768461257136
43,Low countries,1860,0.2734523405366708,0.9723470387868406
44,Low countries,1870,0.2957342653139767,0.957467306294031
45,Low countries,1880,0.3334078023595619,0.9976331478344612
46,Nordic countries,1800,0.1489751839802147,0.9009907875455888
47,Nordic countries,1810,0.1415238060435489,0.8974011903914119
48,Nordic countries,1820,0.5192964696476852,0.920610469036494
49,Nordic countries,1830,0.5875648083035108,0.9130193514956284
50,Nordic countries,1840,0.6318550908093242,0.9677158181799772
51,Nordic countries,1850,0.5722738904404046,0.9764683525536662
52,Nordic countries,1860,0.3959817183672434,1.0048051568685912
53,Nordic countries,1870,0.5020876762194915,1.004893485400766
54,Nordic countries,1880,0.3945451649265691,1.049614334772971
73,Spain,1800,2.0926867562429634,0.8687521161479826
74,Spain,1810,2.0926867562429634,0.8540666272927737
75,Spain,1820,2.0926867562429634,0.8678685367638492
76,Spain,1830,2.0926867562429634,0.7997101684864445
77,Spain,1840,2.0926867562429634,0.9467559953034896
78,Spain,1850,2.0618225109235477,0.9438445876131544
79,Spain,1860,2.0363979229919145,0.9830655405070842
80,Spain,1870,2.0363979229919145,0.9690133030034752
81,Spain,1880,1.6404188671813833,1.0250238403684793
82,United Kingdom,1800,0.4522678890615803,0.9444392066351645
83,United Kingdom,1810,0.4522678890615801,0.9262024404753804
84,United Kingdom,1820,0.4522678890615801,0.959542517763052
85,United Kingdom,1830,0.4522678890615801,0.9466439840206068
86,United Kingdom,1840,0.4522678890615801,0.9991547892290096
87,United Kingdom,1850,0.4522678890615803,0.999547710385821
88,United Kingdom,1860,0.4522678890615801,1.0235655705493485
89,United Kingdom,1870,0.4522678890615801,0.9944465445648326
90,United Kingdom,1880,0.2524638634095886,1.0438153447314813
